user_id,withdrawal_status,signup_date,push_notification_consent_yn,survive_yn,pet_registration_yn,pet_species,pet_breed_detailed,pet_age_months,pet_registered_before_first_purchase_yn,days_to_first_purchase_from_signup,days_to_second_purchase_from_signup,days_to_third_purchase_from_signup,days_from_first_to_second_purchase,days_from_second_to_third_purchase,purchased_feed_yn,purchased_snacks_yn,purchased_supplies_yn,purchased_feed_count,purchased_snacks_count,purchased_supplies_count,purchased_essentials_yn,purchased_essentials_count,pb_purchase_yn,pb_purchase_count,nb_purchase_yn,nb_purchase_count,orders_within_2months_of_first_purchase,first_purchase_month,order_unit_price,first_order_coupon_name,second_order_coupon_name,third_order_coupon_name,weekday_order_count,weekend_order_count,delivery_address,sameday_delivery_orders,dawn_delivery_orders,platform_delivery_orders,first_order_delivery_time_hours,second_order_delivery_time_hours,third_order_delivery_time_hours,average_delivery_time_hours,review_written_yn,review_count
1027396,N,2022. 8. 28. 오전 10:54:10,N,N,Y,고양이,코리안 쇼트헤어,21.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1023769,N,2022. 8. 23. 오후 2:20:01,N,N,Y,강아지,시바견,4.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1059547,N,2022. 10. 3. 오후 11:07:06,N,N,Y,고양이,아메리칸 쇼트헤어,1.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1041849,N,2022. 9. 14. 오후 6:53:34,N,N,Y,고양이,세상에 하나뿐인 믹스,29.0,Y,8.0,,,,,Y,Y,Y,1.0,1.0,1.0,Y,2.0,Y,1.0,Y,2.0,1.0,2022. 9. 1. 오전 12:00:00,65700.0,,,,1.0,,그외,,,1.0,21.0,21.0,21.0,21.0,N,0
1012490,N,2022. 8. 12. 오전 3:35:01,Y,N,Y,고양이,코리안 쇼트헤어,79.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1040665,N,2022. 9. 13. 오후 2:14:57,N,N,Y,강아지,푸들,17.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1035405,N,2022. 9. 6. 오전 6:00:39,N,N,Y,고양이,코리안 쇼트헤어,77.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1029719,N,2022. 8. 31. 오전 12:18:33,Y,N,Y,강아지,푸들,5.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1032696,N,2022. 9. 3. 오전 8:09:12,Y,N,Y,고양이,세상에 하나뿐인 믹스,34.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1021758,N,2022. 8. 21. 오후 1:38:24,N,N,Y,강아지,웰시 코기,34.0,Y,0.0,,,,,N,Y,Y,,3.0,3.0,N,,Y,6.0,N,,1.0,2022. 8. 1. 오전 12:00:00,20600.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,68.0,68.0,68.0,68.0,N,0
1047913,N,2022. 9. 21. 오전 10:16:24,Y,N,Y,강아지,말티즈,45.0,Y,10.0,13.0,,3.0,,N,N,Y,,,1.0,N,,Y,1.0,N,,2.0,2022. 10. 1. 오전 12:00:00,30900.0,"클릭 완료! 뽀너스 5,OOO원 쿠폰♥",,,,1.0,그외,,,1.0,66.0,,66.0,,N,0
1056469,N,2022. 9. 30. 오후 11:25:20,N,Y,Y,강아지,포메라니안,4.0,Y,0.0,2.0,10.0,2.0,8.0,N,N,Y,,,7.0,Y,2.0,Y,3.0,Y,4.0,4.0,2022. 9. 1. 오전 12:00:00,79966.666666667,"가입 축하 5,000원 할인 쿠폰♥",,,2.0,1.0,그외,,,3.0,85.0,,58.0,,N,0
1023452,N,2022. 8. 23. 오전 8:04:50,Y,N,Y,강아지,비숑 프리제,16.0,Y,0.0,1.0,,1.0,,Y,N,N,1.0,,,Y,1.0,N,,Y,1.0,2.0,2022. 8. 1. 오전 12:00:00,6900.0,,,,1.0,,그외,,,,31.0,,31.0,,N,0
1014298,N,2022. 8. 14. 오전 1:47:27,N,N,N,등록없음,등록없음,,N,0.0,,,,,N,N,Y,,,1.0,N,,Y,1.0,N,,1.0,2022. 8. 1. 오전 12:00:00,31000.0,,,,,1.0,그외,,,1.0,60.0,60.0,60.0,60.0,N,0
1038516,Y,2022. 9. 10. 오후 6:41:29,N,N,Y,고양이,코리안 쇼트헤어,2.0,Y,0.0,,,,,Y,N,N,1.0,,,Y,1.0,N,,Y,1.0,1.0,2022. 9. 1. 오전 12:00:00,22500.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,66.0,66.0,66.0,66.0,N,0
1018680,N,2022. 8. 18. 오전 4:43:23,N,Y,Y,고양이,세상에 하나뿐인 믹스,34.0,Y,30.0,32.0,46.0,2.0,14.0,Y,N,Y,1.0,,5.0,Y,3.0,Y,3.0,Y,3.0,5.0,2022. 9. 1. 오전 12:00:00,32733.333333333,,,"펫프와 '몽글몽글'사이만 드리는 1,OOO원 쿠폰",2.0,1.0,그외,,,3.0,58.0,17.0,,,N,0
1035937,N,2022. 9. 6. 오후 8:09:44,Y,N,Y,고양이,브리티시 쇼트헤어,4.0,Y,3.0,,,,,N,N,Y,,,4.0,Y,1.0,N,,Y,4.0,1.0,2022. 9. 1. 오전 12:00:00,60870.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,101.0,101.0,101.0,101.0,N,0
1051533,N,2022. 9. 25. 오후 4:42:14,Y,N,Y,강아지,비숑 프리제,5.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1062063,N,2022. 10. 6. 오후 2:13:26,Y,N,Y,고양이,코리안 쇼트헤어,9.0,Y,0.0,0.0,,0.0,,Y,N,Y,1.0,,2.0,Y,3.0,Y,2.0,Y,1.0,2.0,2022. 10. 1. 오전 12:00:00,36100.0,친구 초대 이벤트 쿠폰,,,1.0,,그외,,,1.0,24.0,,24.0,,N,0
1058433,N,2022. 10. 2. 오후 11:09:55,Y,Y,Y,고양이,아비시니안,3.0,Y,1.0,3.0,7.0,2.0,4.0,Y,N,Y,1.0,,11.0,Y,4.0,Y,5.0,Y,7.0,11.0,2022. 10. 1. 오전 12:00:00,88500.0,"가입 축하 5,000원 할인 쿠폰♥",,,2.0,1.0,그외,,,3.0,50.0,40.0,52.0,47.333333333,N,0
1058447,N,2022. 10. 2. 오후 11:27:02,Y,N,Y,고양이,기타,4.0,Y,1.0,,,,,N,N,Y,,,2.0,N,,N,,Y,2.0,1.0,2022. 10. 1. 오전 12:00:00,51900.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,,,,,N,0
1017706,N,2022. 8. 17. 오전 9:47:50,Y,N,Y,고양이,세상에 하나뿐인 믹스,29.0,Y,1.0,40.0,75.0,39.0,35.0,Y,Y,Y,1.0,10.0,5.0,Y,1.0,Y,6.0,Y,10.0,2.0,2022. 8. 1. 오전 12:00:00,74462.666666667,"가입 축하 5,000원 할인 쿠폰♥","[ONLY 심쿵팸] ♥내 새꾸 곳간 채워줄 8,OOO원 할인권♥","펫프와 '몽글몽글'사이만 드리는 5,OOO원 쿠폰",3.0,,그외,,,3.0,19.0,43.0,24.0,28.666666667,Y,7
1034932,N,2022. 9. 5. 오후 4:54:07,N,N,Y,강아지,푸들,16.0,Y,11.0,,,,,N,N,Y,,,5.0,Y,2.0,Y,1.0,Y,4.0,1.0,2022. 9. 1. 오전 12:00:00,17140.0,"클릭 완료! 뽀너스 5,OOO원 쿠폰♥",,,1.0,,그외,,,1.0,70.0,70.0,70.0,70.0,N,0
1059617,N,2022. 10. 4. 오전 12:36:17,Y,N,Y,고양이,브리티시 쇼트헤어,8.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1025809,N,2022. 8. 26. 오전 4:58:16,N,N,Y,강아지,치와와,37.0,Y,12.0,34.0,63.0,22.0,29.0,Y,N,N,3.0,,,Y,3.0,N,,Y,3.0,3.0,2022. 9. 1. 오전 12:00:00,17166.666666667,,,,3.0,,그외,,,3.0,13.0,34.0,38.0,28.333333333,N,0
1016095,N,2022. 8. 15. 오후 7:55:37,N,N,Y,강아지,푸들,13.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1053724,N,2022. 9. 28. 오전 12:48:01,N,Y,Y,고양이,코리안 쇼트헤어,15.0,Y,0.0,40.0,40.0,40.0,0.0,Y,Y,N,1.0,12.0,,Y,1.0,Y,5.0,Y,8.0,2.0,2022. 9. 1. 오전 12:00:00,39375.0,"가입 축하 5,000원 할인 쿠폰♥","펫프와 '몽글몽글'사이만 드리는 1,OOO원 쿠폰","펫프와 '몽글몽글'사이만 드리는 1,OOO원 쿠폰",2.0,,그외,,,2.0,46.0,43.0,43.0,44.0,N,0
1063441,N,2022. 10. 7. 오후 9:29:35,N,Y,Y,강아지,진돗개,37.0,Y,0.0,14.0,17.0,14.0,3.0,Y,Y,Y,2.0,1.0,3.0,Y,2.0,Y,1.0,Y,5.0,4.0,2022. 10. 1. 오전 12:00:00,26666.666666667,"예비 심쿵팸님을 위한, 가입 축하 5,OOO원 쿠폰♥","[ONLY 심쿵팸] ♥가족이 되어주셔서 감사해요♥  8,OOO원 쿠폰",,3.0,,그외,,,3.0,16.0,84.0,44.0,48.0,Y,6
1051769,N,2022. 9. 25. 오후 9:23:23,Y,N,Y,고양이,랙돌,18.0,Y,0.0,,,,,N,N,Y,,,3.0,N,,Y,1.0,Y,2.0,1.0,2022. 9. 1. 오전 12:00:00,32800.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,43.0,43.0,43.0,43.0,N,0
1016911,N,2022. 8. 16. 오후 2:12:25,N,N,Y,강아지,세상에 하나뿐인 믹스,141.0,Y,0.0,,,,,Y,N,N,1.0,,,Y,1.0,N,,Y,1.0,1.0,2022. 8. 1. 오전 12:00:00,24000.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,24.0,24.0,24.0,24.0,N,0
1031686,N,2022. 9. 2. 오전 12:31:49,Y,N,N,등록없음,등록없음,,N,11.0,20.0,55.0,9.0,35.0,Y,N,Y,4.0,,2.0,Y,6.0,Y,1.0,Y,5.0,3.0,2022. 9. 1. 오전 12:00:00,40200.0,"클릭 완료! 뽀너스 8,OOO원 쿠폰♥","♥내새꾸 용돈 1O,OOO원 당첨을 축하드려요♥","[ONLY 심쿵팸] 우리 집사님 전용 추가 1O,OOO원 할인권♥",3.0,,그외,,,3.0,44.0,45.0,62.0,50.333333333,N,0
1018607,N,2022. 8. 18. 오전 12:50:48,N,N,Y,고양이,세상에 하나뿐인 믹스,19.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1050833,N,2022. 9. 24. 오후 8:07:04,N,N,Y,강아지,푸들,96.0,Y,0.0,,,,,N,N,Y,,,3.0,N,,Y,1.0,Y,2.0,1.0,2022. 9. 1. 오전 12:00:00,31300.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,63.0,63.0,63.0,63.0,N,0
1060488,N,2022. 10. 4. 오후 9:24:26,N,N,Y,고양이,코리안 쇼트헤어,7.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1049880,N,2022. 9. 23. 오후 4:47:39,N,N,N,등록없음,등록없음,,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1058404,N,2022. 10. 2. 오후 10:34:59,N,N,Y,강아지,푸들,103.0,Y,0.0,,,,,Y,N,N,1.0,,,Y,1.0,N,,Y,1.0,1.0,2022. 10. 1. 오전 12:00:00,38200.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,40.0,40.0,40.0,40.0,N,0
1016882,N,2022. 8. 16. 오후 1:45:46,N,N,Y,고양이,코리안 쇼트헤어,40.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1020910,N,2022. 8. 20. 오후 2:55:53,Y,N,Y,강아지,기타,20.0,Y,0.0,34.0,,34.0,,N,N,Y,,,1.0,N,,Y,1.0,N,,2.0,2022. 8. 1. 오전 12:00:00,19900.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,43.0,,43.0,,N,0
1023351,N,2022. 8. 23. 오전 1:07:48,Y,Y,Y,고양이,코리안 쇼트헤어,4.0,N,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,7.0,4.0,2.0,Y,7.0,Y,5.0,Y,8.0,4.0,2022. 8. 1. 오전 12:00:00,53790.0,"가입 축하 5,000원 할인 쿠폰♥","가입 축하 5,000원 할인 쿠폰♥","가입 축하 5,000원 할인 쿠폰♥",1.0,,그외,,,1.0,35.0,35.0,35.0,35.0,N,0
1039150,N,2022. 9. 11. 오후 6:01:06,N,N,Y,강아지,비숑 프리제,3.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1032426,N,2022. 9. 2. 오후 9:12:57,Y,N,Y,고양이,코리안 쇼트헤어,3.0,Y,12.0,,,,,N,Y,Y,,1.0,1.0,Y,1.0,Y,2.0,N,,1.0,2022. 9. 1. 오전 12:00:00,23900.0,"클릭 완료! 뽀너스 5,OOO원 쿠폰♥",,,1.0,,그외,,,1.0,20.0,20.0,20.0,20.0,N,0
1017333,N,2022. 8. 16. 오후 9:26:46,Y,N,Y,강아지,기타,16.0,N,0.0,37.0,,37.0,,Y,N,N,1.0,,,Y,1.0,N,,Y,1.0,2.0,2022. 8. 1. 오전 12:00:00,27500.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,16.0,,16.0,,N,0
1032411,N,2022. 9. 2. 오후 8:48:59,N,N,Y,고양이,코리안 쇼트헤어,34.0,Y,0.0,40.0,,40.0,,Y,N,N,2.0,,,Y,2.0,N,,Y,2.0,2.0,2022. 9. 1. 오전 12:00:00,47700.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,19.0,,19.0,,N,0
1047095,N,2022. 9. 20. 오후 12:50:59,Y,N,Y,고양이,세상에 하나뿐인 믹스,34.0,Y,0.0,,,,,Y,N,N,2.0,,,Y,2.0,N,,Y,2.0,1.0,2022. 9. 1. 오전 12:00:00,70200.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,27.0,27.0,27.0,27.0,N,0
1061497,N,2022. 10. 5. 오후 9:19:38,Y,N,Y,강아지,비숑 프리제,17.0,Y,1.0,4.0,,3.0,,N,N,Y,,,1.0,N,,N,,Y,1.0,2.0,2022. 10. 1. 오전 12:00:00,7900.0,,,,1.0,,그외,,,,39.0,,39.0,,N,0
1025927,N,2022. 8. 26. 오전 10:22:16,N,N,Y,고양이,세상에 하나뿐인 믹스,4.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1032133,N,2022. 9. 2. 오후 2:58:05,Y,N,N,등록없음,등록없음,,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1033505,N,2022. 9. 4. 오전 5:36:39,Y,Y,Y,강아지,세상에 하나뿐인 믹스,19.0,Y,0.0,7.0,53.0,7.0,46.0,N,Y,Y,,3.0,5.0,N,,Y,4.0,Y,4.0,3.0,2022. 9. 1. 오전 12:00:00,30338.666666667,"가입 축하 5,000원 할인 쿠폰♥","[ONLY 심쿵팸] ♥가족이 되어주셔서 감사해요♥  8,OOO원 쿠폰",친구초대 이벤트 보상 쿠폰,1.0,2.0,그외,,,3.0,58.0,69.0,37.0,54.666666667,Y,7
1058545,N,2022. 10. 3. 오전 1:46:04,N,N,Y,강아지,푸들,9.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1060685,N,2022. 10. 5. 오전 12:25:46,N,N,Y,강아지,푸들,9.0,Y,0.0,12.0,,12.0,,N,Y,Y,,2.0,3.0,N,,Y,4.0,Y,1.0,2.0,2022. 10. 1. 오전 12:00:00,16250.0,"예비 심쿵팸님을 위한, 가입 축하 5,OOO원 쿠폰♥",,,1.0,,그외,,,1.0,63.0,,63.0,,N,0
1045799,N,2022. 9. 19. 오전 1:24:24,N,N,Y,강아지,푸들,47.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1057820,N,2022. 10. 2. 오후 1:20:46,Y,N,Y,고양이,세상에 하나뿐인 믹스,14.0,Y,7.0,16.0,,9.0,,N,Y,Y,,1.0,2.0,N,,Y,2.0,Y,1.0,2.0,2022. 10. 1. 오전 12:00:00,38990.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,48.0,,48.0,,N,0
1040197,N,2022. 9. 12. 오후 10:57:34,N,N,Y,고양이,세상에 하나뿐인 믹스,82.0,Y,0.0,,,,,N,N,Y,,,1.0,N,,Y,1.0,N,,1.0,2022. 9. 1. 오전 12:00:00,30000.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,62.0,62.0,62.0,62.0,N,0
1061677,N,2022. 10. 6. 오전 12:30:35,N,N,Y,고양이,세상에 하나뿐인 믹스,71.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1024428,N,2022. 8. 24. 오전 10:24:41,N,Y,Y,고양이,러시안 블루,133.0,Y,0.0,16.0,40.0,16.0,24.0,Y,Y,Y,2.0,4.0,9.0,Y,4.0,Y,11.0,Y,4.0,3.0,2022. 8. 1. 오전 12:00:00,38230.0,"가입 축하 5,000원 할인 쿠폰♥","[ONLY 심쿵팸] ♥가족이 되어주셔서 감사해요♥  8,OOO원 쿠폰",,3.0,,그외,,,3.0,27.0,96.0,,,Y,4
1061184,N,2022. 10. 5. 오후 3:28:49,Y,N,Y,고양이,브리티시 쇼트헤어,2.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1055497,N,2022. 9. 29. 오후 11:10:27,N,N,Y,강아지,포메라니안,4.0,Y,9.0,26.0,,17.0,,Y,Y,Y,2.0,1.0,1.0,Y,2.0,N,,Y,4.0,2.0,2022. 10. 1. 오전 12:00:00,21800.0,"클릭 완료! 뽀너스 5,OOO원 쿠폰♥",,,,1.0,그외,,,1.0,66.0,,66.0,,N,0
1018596,N,2022. 8. 18. 오전 12:37:18,Y,N,Y,고양이,기타,8.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1061800,N,2022. 10. 6. 오전 8:14:59,Y,N,Y,강아지,푸들,5.0,Y,11.0,27.0,,16.0,,N,Y,Y,,3.0,2.0,N,,Y,2.0,Y,3.0,2.0,2022. 10. 1. 오전 12:00:00,61200.0,"클릭 완료! 뽀너스 8,OOO원 쿠폰♥",,,1.0,,그외,,,1.0,29.0,,29.0,,Y,5
1017138,N,2022. 8. 16. 오후 6:28:30,N,N,Y,강아지,말티즈,25.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1045443,N,2022. 9. 18. 오후 7:25:57,Y,N,Y,고양이,샴,4.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1049469,N,2022. 9. 23. 오전 1:28:56,Y,N,Y,강아지,폼피츠,53.0,Y,11.0,28.0,46.0,17.0,18.0,Y,Y,Y,1.0,3.0,1.0,Y,2.0,Y,1.0,Y,4.0,3.0,2022. 10. 1. 오전 12:00:00,30866.666666667,"클릭 완료! 뽀너스 8,OOO원 쿠폰♥","[ONLY 심쿵팸] ♥가족이 되어주셔서 감사해요♥  8,OOO원 쿠폰","펫프와 '몽글몽글'사이만 드리는 1,OOO원 쿠폰",3.0,,그외,,,3.0,,25.0,26.0,,Y,4
1056564,N,2022. 10. 1. 오전 12:58:02,N,Y,Y,고양이,코리안 쇼트헤어,134.0,Y,0.0,3.0,3.0,3.0,0.0,N,N,Y,,,5.0,N,,Y,4.0,Y,1.0,2.0,2022. 10. 1. 오전 12:00:00,37550.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,1.0,그외,,,2.0,86.0,,,,N,0
1061393,N,2022. 10. 5. 오후 7:36:39,Y,Y,Y,강아지,말티즈,142.0,Y,2.0,10.0,28.0,8.0,18.0,Y,Y,N,2.0,4.0,,Y,2.0,Y,1.0,Y,5.0,4.0,2022. 10. 1. 오전 12:00:00,33161.333333333,"예비 심쿵팸님을 위한, 가입 축하 5,OOO원 쿠폰♥","[ONLY 심쿵팸] ♥가족이 되어주셔서 감사해요♥  8,OOO원 쿠폰","펫프와 '몽글몽글'사이만 드리는 1,OOO원 쿠폰",2.0,1.0,그외,,,3.0,20.0,76.0,51.0,49.0,N,0
1021151,N,2022. 8. 20. 오후 8:04:57,Y,Y,Y,고양이,아비시니안,7.0,Y,28.0,46.0,46.0,18.0,0.0,Y,Y,Y,5.0,1.0,9.0,Y,5.0,Y,5.0,Y,10.0,3.0,2022. 9. 1. 오전 12:00:00,46809.0,,,,1.0,1.0,그외,,,2.0,69.0,26.0,26.0,40.333333333,Y,3
1026526,N,2022. 8. 27. 오전 7:28:33,Y,N,Y,강아지,포메라니안,5.0,Y,0.0,,,,,Y,N,N,24.0,,,Y,24.0,N,,Y,24.0,1.0,2022. 8. 1. 오전 12:00:00,22780.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,54.0,54.0,54.0,54.0,N,0
1038683,N,2022. 9. 10. 오후 11:02:20,Y,N,Y,고양이,러시안 블루,71.0,Y,0.0,,,,,N,N,Y,,,2.0,Y,2.0,Y,2.0,N,,1.0,2022. 9. 1. 오전 12:00:00,90000.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,63.0,63.0,63.0,63.0,Y,1
1048032,N,2022. 9. 21. 오후 12:54:01,Y,N,Y,강아지,카발리에 킹 찰스 스패니얼,5.0,Y,51.0,,,,,N,N,Y,,,4.0,N,,Y,3.0,Y,1.0,1.0,2022. 11. 1. 오전 12:00:00,44900.0,"펫프와 처음인 집사님께 드리는 8,OOO원 쿠폰♥",,,1.0,,그외,,,1.0,,,,,N,0
1058544,N,2022. 10. 3. 오전 1:45:38,Y,N,Y,강아지,카발리에 킹 찰스 스패니얼,34.0,Y,0.0,,,,,N,N,Y,,,2.0,N,,Y,1.0,Y,1.0,1.0,2022. 10. 1. 오전 12:00:00,20000.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,,,,,N,0
1057922,N,2022. 10. 2. 오후 2:43:42,Y,N,Y,강아지,포메라니안,16.0,Y,1.0,15.0,,14.0,,Y,Y,Y,1.0,1.0,1.0,Y,1.0,Y,2.0,Y,1.0,2.0,2022. 10. 1. 오전 12:00:00,51200.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,1.0,,13.0,,13.0,,Y,3
1071717,N,2022. 10. 17. 오전 3:38:37,Y,N,Y,강아지,말티즈,106.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
